Method,Function,Time_us
frida_cmodule,recursive,288250
frida_cmodule,array_ops,56578
frida_cmodule,memory_ops,309283
frida_cmodule,hot_path,290526
frida_cmodule,heavy_work,380087
frida_cmodule,recursive,294772
frida_cmodule,array_ops,62863
frida_cmodule,memory_ops,308330
baseline_complex,complex_ops,1444088
baseline_complex,complex_ops,1423352
baseline_complex,complex_ops,1434450
baseline_complex,complex_ops,1365130
baseline_complex,complex_ops,1396888
baseline_complex,complex_ops,1417773
baseline_complex,complex_ops,1375163
baseline_complex,complex_ops,1438931
baseline_complex,complex_ops,1361388
baseline_complex,complex_ops,1355314
ldpreload_complex,complex_ops,1418675
ldpreload_complex,complex_ops,1362044
ldpreload_complex,complex_ops,1437483
ldpreload_complex,complex_ops,1387280
ldpreload_complex,complex_ops,1364089
ldpreload_complex,complex_ops,1411031
ldpreload_complex,complex_ops,1422524
ldpreload_complex,complex_ops,1406083
ldpreload_complex,complex_ops,1370130
ldpreload_complex,complex_ops,1357705
frida_complex_v8,complex_ops,23703319
frida_complex_v8,complex_ops,27235851
frida_complex_v8,complex_ops,28175715
frida_complex_v8,complex_ops,24040919
frida_complex_v8,complex_ops,25926729
frida_complex_v8,complex_ops,30363793
frida_complex_v8,complex_ops,24612461
frida_complex_v8,complex_ops,27916933
frida_complex_v8,complex_ops,25467812
frida_complex_qjs,complex_ops,367271070
frida_complex_qjs,complex_ops,368364448
frida_complex_qjs,complex_ops,366591991
frida_complex_qjs,complex_ops,363922648
frida_complex_qjs,complex_ops,369209172
frida_complex_qjs,complex_ops,365988938
frida_complex_qjs,complex_ops,374450361
frida_complex_qjs,complex_ops,361074105
frida_complex_qjs,complex_ops,364024246
frida_complex_qjs,complex_ops,364582199
